,STNAME,FREQ/ALWAYS,FULLY_VACCINATED,PARTY
0,Alabama,0.739,0.42040283391431776,0
1,Alaska,0.7589999999999999,0.5167051808504154,0
2,Arizona,0.692,0.4989036436651247,1
3,Arkansas,0.8500000000000001,0.4512113754660088,0
4,California,0.6529999999999999,0.6032791593229418,1
5,Colorado,0.786,0.5937310327858493,1
6,Connecticut,0.588,0.686170054253493,1
7,Delaware,0.609,0.565387020183237,1
8,District of Columbia,0.6960000000000001,0.7347786806132298,1
9,Florida,0.678,0.56220170216118,0
10,Georgia,0.8119999999999999,0.4468143234506537,1
11,Hawaii,0.7869999999999999,0.678931006690803,1
12,Idaho,0.698,0.42519375580555835,0
13,Illinois,0.49799999999999994,0.5550403454847774,1
14,Indiana,0.585,0.4807737374338504,0
15,Iowa,0.652,0.5357389979203815,0
16,Kansas,0.669,0.5083034039683506,0
17,Kentucky,0.591,0.5189572798129924,0
18,Louisiana,0.647,0.45175723169005866,0
19,Maine,0.557,0.6789461248862156,1
20,Maryland,0.649,0.6402190824600936,1
21,Massachusetts,0.596,0.6770553271786159,1
22,Michigan,0.68,0.5224212378299222,1
23,Minnesota,0.646,0.5778855158482552,1
24,Mississippi,0.7589999999999999,0.4376089141582844,0
25,Missouri,0.737,0.4750974876567654,0
26,Montana,0.6719999999999999,0.47717099290471665,0
27,Nebraska,0.623,0.5426775642666622,0
28,Nevada,0.662,0.49563914259466796,1
29,New Hampshire,0.64,0.6103244222429599,1
30,New Jersey,0.603,0.6554839918305596,1
31,New Mexico,0.79,0.6256597409983958,1
32,New York,0.8300000000000001,0.6376814832007156,1
33,North Carolina,0.696,0.5199965134782459,0
34,North Dakota,0.7010000000000001,0.43925656172866123,0
35,Ohio,0.7090000000000001,0.5000979627761976,0
36,Oklahoma,0.8069999999999999,0.4698829350909105,0
37,Oregon,0.716,0.600355486858798,1
38,Pennsylvania,0.6479999999999999,0.5766805541061767,1
39,Rhode Island,0.6699999999999999,0.7331923850065035,1
40,South Carolina,0.7450000000000001,0.4624997125357414,0
41,South Dakota,0.7310000000000001,0.5091893623623164,0
42,Tennessee,0.6629999999999999,0.45275535899369723,0
43,Texas,0.7170000000000001,0.5034395057702697,0
44,Utah,0.766,0.513809591064775,0
45,Vermont,0.6980000000000001,0.7180751651969128,1
46,Virginia,0.5599999999999999,0.59869044671461,1
47,Washington,0.732,0.6205233640583903,1
48,West Virginia,0.75,0.4684928789821979,0
49,Wisconsin,0.6659999999999999,0.5611989737092284,1
50,Wyoming,0.725,0.4090461046008435,0
